# format: as|source|type
# date: 20150802
# name: as2type
# exe: type-convert-amogh.pl
# files: /project/as2org/20150801/asclass/exp-sets/20150801.merged.class.txt
# types: Content|Enterpise|Transit/Access
1|peerDB_class|Transit/Access
2|CAIDA_class|Transit/Access
3|CAIDA_class|Transit/Access
4|CAIDA_class|Transit/Access
5|CAIDA_class|Transit/Access
6|CAIDA_class|Enterpise
7|CAIDA_class|Enterpise
8|CAIDA_class|Transit/Access
9|CAIDA_class|Transit/Access
10|CAIDA_class|Transit/Access
12|CAIDA_class|Transit/Access
13|CAIDA_class|Transit/Access
14|CAIDA_class|Transit/Access
16|CAIDA_class|Transit/Access
17|CAIDA_class|Transit/Access
18|CAIDA_class|Transit/Access
19|CAIDA_class|Enterpise
20|CAIDA_class|Transit/Access
21|CAIDA_class|Transit/Access
22|CAIDA_class|Transit/Access
24|CAIDA_class|Transit/Access
25|CAIDA_class|Transit/Access
26|CAIDA_class|Transit/Access
27|CAIDA_class|Transit/Access
29|CAIDA_class|Transit/Access
30|CAIDA_class|Transit/Access
31|CAIDA_class|Transit/Access
32|CAIDA_class|Transit/Access
33|CAIDA_class|Enterpise
34|CAIDA_class|Transit/Access
35|CAIDA_class|Transit/Access
37|CAIDA_class|Transit/Access
38|CAIDA_class|Transit/Access
41|CAIDA_class|Transit/Access
42|CAIDA_class|Transit/Access
43|CAIDA_class|Transit/Access
44|CAIDA_class|Transit/Access
45|CAIDA_class|Transit/Access
46|CAIDA_class|Transit/Access
47|CAIDA_class|Transit/Access
48|CAIDA_class|Transit/Access
49|CAIDA_class|Enterpise
50|CAIDA_class|Enterpise
51|CAIDA_class|Transit/Access
52|CAIDA_class|Transit/Access
55|CAIDA_class|Transit/Access
57|CAIDA_class|Transit/Access
59|CAIDA_class|Transit/Access
62|peerDB_class|Transit/Access
63|CAIDA_class|Enterpise
64|CAIDA_class|Transit/Access
68|CAIDA_class|Transit/Access
70|CAIDA_class|Content
71|CAIDA_class|Transit/Access
72|CAIDA_class|Transit/Access
73|CAIDA_class|Transit/Access
74|CAIDA_class|Enterpise
77|CAIDA_class|Enterpise
78|CAIDA_class|Enterpise
80|CAIDA_class|Transit/Access
81|CAIDA_class|Transit/Access
83|CAIDA_class|Transit/Access
84|CAIDA_class|Transit/Access
85|CAIDA_class|Enterpise
87|manual_class|Enterpise
88|manual_class|Enterpise
89|CAIDA_class|Transit/Access
90|CAIDA_class|Transit/Access
91|CAIDA_class|Transit/Access
92|CAIDA_class|Transit/Access
98|CAIDA_class|Transit/Access
100|CAIDA_class|Transit/Access
101|CAIDA_class|Transit/Access
102|CAIDA_class|Enterpise
103|CAIDA_class|Transit/Access
104|CAIDA_class|Transit/Access
106|CAIDA_class|Transit/Access
109|peerDB_class|Enterpise
111|CAIDA_class|Transit/Access
112|CAIDA_class|Transit/Access
116|CAIDA_class|Transit/Access
120|CAIDA_class|Enterpise
122|CAIDA_class|Enterpise
125|CAIDA_class|Transit/Access
127|CAIDA_class|Transit/Access
130|CAIDA_class|Transit/Access
131|CAIDA_class|Transit/Access
132|CAIDA_class|Transit/Access
137|CAIDA_class|Transit/Access
138|CAIDA_class|Transit/Access
140|CAIDA_class|Transit/Access
144|CAIDA_class|Transit/Access
147|CAIDA_class|Enterpise
149|CAIDA_class|Transit/Access
151|CAIDA_class|Enterpise
153|CAIDA_class|Transit/Access
154|CAIDA_class|Transit/Access
156|CAIDA_class|Transit/Access
157|CAIDA_class|Transit/Access
158|CAIDA_class|Transit/Access
159|CAIDA_class|Transit/Access
160|CAIDA_class|Transit/Access
161|CAIDA_class|Enterpise
166|CAIDA_class|Transit/Access
167|CAIDA_class|Transit/Access
173|CAIDA_class|Transit/Access
174|CAIDA_class|Transit/Access
186|CAIDA_class|Transit/Access
187|CAIDA_class|Transit/Access
188|CAIDA_class|Enterpise
190|CAIDA_class|Transit/Access
194|manual_class|Enterpise
195|CAIDA_class|Transit/Access
196|CAIDA_class|Transit/Access
200|CAIDA_class|Transit/Access
205|CAIDA_class|Transit/Access
206|CAIDA_class|Transit/Access
209|peerDB_class|Transit/Access
210|CAIDA_class|Transit/Access
213|CAIDA_class|Transit/Access
217|CAIDA_class|Transit/Access
220|CAIDA_class|Transit/Access
224|CAIDA_class|Transit/Access
225|CAIDA_class|Transit/Access
226|CAIDA_class|Transit/Access
228|CAIDA_class|Transit/Access
229|CAIDA_class|Transit/Access
231|CAIDA_class|Transit/Access
234|CAIDA_class|Transit/Access
237|CAIDA_class|Transit/Access
239|CAIDA_class|Transit/Access
243|CAIDA_class|Transit/Access
246|CAIDA_class|Transit/Access
250|CAIDA_class|Transit/Access
251|peerDB_class|Transit/Access
252|CAIDA_class|Transit/Access
257|CAIDA_class|Enterpise
260|peerDB_class|Transit/Access
264|CAIDA_class|Enterpise
267|CAIDA_class|Enterpise
270|CAIDA_class|Transit/Access
271|CAIDA_class|Transit/Access
272|CAIDA_class|Transit/Access
273|CAIDA_class|Transit/Access
276|CAIDA_class|Transit/Access
278|CAIDA_class|Transit/Access
283|CAIDA_class|Enterpise
286|peerDB_class|Transit/Access
287|CAIDA_class|Transit/Access
288|CAIDA_class|Enterpise
289|CAIDA_class|Transit/Access
291|CAIDA_class|Transit/Access
292|CAIDA_class|Transit/Access
293|peerDB_class|Transit/Access
297|CAIDA_class|Transit/Access
299|CAIDA_class|Transit/Access
300|CAIDA_class|Transit/Access
302|CAIDA_class|Transit/Access
306|CAIDA_class|Transit/Access
308|CAIDA_class|Transit/Access
309|CAIDA_class|Transit/Access
310|CAIDA_class|Transit/Access
311|CAIDA_class|Transit/Access
313|CAIDA_class|Transit/Access
316|CAIDA_class|Transit/Access
317|CAIDA_class|Transit/Access
319|CAIDA_class|Transit/Access
320|CAIDA_class|Transit/Access
321|CAIDA_class|Transit/Access
322|CAIDA_class|Transit/Access
323|CAIDA_class|Transit/Access
324|CAIDA_class|Transit/Access
325|CAIDA_class|Transit/Access
326|CAIDA_class|Transit/Access
327|CAIDA_class|Transit/Access
328|CAIDA_class|Transit/Access
329|manual_class|Enterpise
331|CAIDA_class|Transit/Access
332|CAIDA_class|Transit/Access
334|CAIDA_class|Transit/Access
335|CAIDA_class|Transit/Access
337|CAIDA_class|Transit/Access
338|CAIDA_class|Transit/Access
339|CAIDA_class|Transit/Access
340|CAIDA_class|Transit/Access
341|CAIDA_class|Transit/Access
342|CAIDA_class|Transit/Access
343|CAIDA_class|Transit/Access
344|CAIDA_class|Transit/Access
345|CAIDA_class|Transit/Access
346|CAIDA_class|Transit/Access
347|CAIDA_class|Transit/Access
348|CAIDA_class|Transit/Access
349|CAIDA_class|Transit/Access
350|CAIDA_class|Transit/Access
351|CAIDA_class|Transit/Access
352|CAIDA_class|Transit/Access
355|CAIDA_class|Transit/Access
356|CAIDA_class|Transit/Access
357|CAIDA_class|Transit/Access
360|CAIDA_class|Transit/Access
361|CAIDA_class|Transit/Access
362|CAIDA_class|Transit/Access
366|CAIDA_class|Transit/Access
367|CAIDA_class|Transit/Access
368|CAIDA_class|Transit/Access
369|CAIDA_class|Transit/Access
370|CAIDA_class|Transit/Access
371|CAIDA_class|Transit/Access
372|CAIDA_class|Transit/Access
375|manual_class|Enterpise
376|CAIDA_class|Transit/Access
377|CAIDA_class|Transit/Access
378|CAIDA_class|Transit/Access
381|CAIDA_class|Transit/Access
382|CAIDA_class|Enterpise
383|CAIDA_class|Transit/Access
387|CAIDA_class|Transit/Access
390|CAIDA_class|Transit/Access
391|CAIDA_class|Transit/Access
